,dataset,zarr_name,zarr_path,size_mb,n_files,has_zmetadata
20,ff10m,ff10m.1980_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/ff10m/ff10m.1980_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,794.460052,31,True
21,t2m,t2m.1980_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/t2m/t2m.1980_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,724.616631,33,True
22,snowmelt,snowmelt.1980_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/snowmelt/snowmelt.1980_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,11.577577,1038,True
23,precip,precip.1980_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/precip/precip.1980_AMJ.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,905.81841,33,True
24,snowmelt,snowmelt.1980_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/snowmelt/snowmelt.1980_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,10.694693,1038,True
25,t2m,t2m.1980_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/t2m/t2m.1980_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,732.776728,33,True
26,ff10m,ff10m.1980_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/ff10m/ff10m.1980_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,902.577965,33,True
27,precip,precip.1980_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/precip/precip.1980_JAS.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,898.777976,33,True
28,snowmelt,snowmelt.1980_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/snowmelt/snowmelt.1980_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,77.383322,1038,True
29,t2m,t2m.1980_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,s3://nasa-cryo-scratch/jkingslake/Daily-2km-zarr/t2m/t2m.1980_OND.BN_RACMO2.3p2_ANT27_ERA5_3h.AIS.2km.DD.zarr,716.379073,33,True
